keys,it
le sue %s si fanno aspettare il %d%% in meno,le sue %s si fanno aspettare il %d%% in meno
le sue %s valgono %+d,le sue %s valgono %+d
le sue %s valgono ×%.1f,le sue %s valgono ×%.1f
le sue carte di %s si fanno aspettare il %d%% in meno,le sue carte di %s si fanno aspettare il %d%% in meno
le sue carte di %s valgono %+d,le sue carte di %s valgono %+d
le sue carte di %s valgono ×%.1f,le sue carte di %s valgono ×%.1f
le sue carte si fanno aspettare il %d%% in meno,le sue carte si fanno aspettare il %d%% in meno
le sue carte valgono %+d,le sue carte valgono %+d
le sue carte valgono ×%.1f,le sue carte valgono ×%.1f
log,log
menu.best_label,menu.best_label
"metà e metà: +1 vita, oppure −20 oro","metà e metà: +1 vita, oppure −20 oro"
moneta,moneta
name,name
niente,niente
ogni secondo che la carta passa ferma in plancia ad aspettare.,ogni secondo che la carta passa ferma in plancia ad aspettare.
oro,oro
paralizza,paralizza
per ultime. È il modo di allontanare il momento in cui resti senza.,per ultime. È il modo di allontanare il momento in cui resti senza.
posto. Lui dovrà pescarne un'altra: è un colpo alla plancia e al mazzo.,posto. Lui dovrà pescarne un'altra: è un colpo alla plancia e al mazzo.
potenzia lo slot,potenzia lo slot
"prendi Sorc, ma la paghi","prendi Sorc, ma la paghi"
qualcuno,qualcuno
rallenta,rallenta
recupera,recupera
recuperarla dagli scarti.,recuperarla dagli scarti.
"resta fino a fine battaglia, o finché qualcosa non te lo lava via. ","resta fino a fine battaglia, o finché qualcosa non te lo lava via. "
rimescola,rimescola
ripulisce,ripulisce
ruba una carta,ruba una carta
sanguinamento,sanguinamento
scarta dal mazzo,scarta dal mazzo
scudo,scudo
seed %d,seed %d
sicuro: −6 oro,sicuro: −6 oro
sigla,sigla
skip — risolve subito la battaglia,skip — risolve subito la battaglia
speed <n> — cambia la velocità della simulazione,speed <n> — cambia la velocità della simulazione
spegne la catena,spegne la catena
"stesso numero di quella appena uscita, la catena si allunga: da lì in poi ","stesso numero di quella appena uscita, la catena si allunga: da lì in poi "
tag,tag
text,text
torna nel mazzo,torna nel mazzo
un Cucciolo d'Acqua,un Cucciolo d'Acqua
un Cucciolo d'Erba,un Cucciolo d'Erba
un Cucciolo di Elettro,un Cucciolo di Elettro
un Cucciolo di Fuoco,un Cucciolo di Fuoco
"un colpo di fortuna, o una beffa","un colpo di fortuna, o una beffa"
un innesto Affilato,un innesto Affilato
un mazzo che non conosci,un mazzo che non conosci
una carta su %d porta %d innesti: %s,una carta su %d porta %d innesti: %s
una carta su %d porta %d innesto: %s,una carta su %d porta %d innesto: %s
una reliquia,una reliquia
una reliquia a caso,una reliquia a caso
uno dei tuoi per uno dei suoi,uno dei tuoi per uno dei suoi
vedi_mazzo,vedi_mazzo
vedi_reliquie,vedi_reliquie
veleno,veleno
vita,vita
vite,vite
vittorie,vittorie
~,~
È ancora più piccolo di quanto ricordassi.,È ancora più piccolo di quanto ricordassi.
È finita.,È finita.
È finita?,È finita?
È il loro modo di fare le cose.,È il loro modo di fare le cose.
"È il simbolo del paese. Se prendono questo posto, sarà il primo passo per integrare tutto il resto.","È il simbolo del paese. Se prendono questo posto, sarà il primo passo per integrare tutto il resto."
È proprio per questo che sono qui.,È proprio per questo che sono qui.
• %s,• %s
−%d oro,−%d oro
"−10 oro, ma qualcuno si ricorda di te","−10 oro, ma qualcuno si ricorda di te"
"−12 oro, un innesto Svelto","−12 oro, un innesto Svelto"
"−12 oro, una carta in più","−12 oro, una carta in più"
"−18 oro, una carta grossa","−18 oro, una carta grossa"
▸ ,▸ 
▼  clic o spazio,▼  clic o spazio
◈ %d,◈ %d
◈ %s,◈ %s
◎,◎
★,★
★ %s: %s,★ %s: %s
